type,collection,docId,subject,topic,question,currentCorrect,currentCorrectText,suggestedCorrect,suggestedCorrectText,confidenceOrMethod,evidence,approved
semantic,questions,GEO-2021-013,Geography,Political Geography,Which of these West African countries is least likely to engage in an international boundary dispute,B,Burkina Faso and Niger.,C,Ghana and Benin.,100%,"Ghana and Benin do not share a common land border, as they are separated by Togo, making a land boundary dispute impossible.",yes
semantic,questions,GEO-2021-020,Geography,Fluvial Geomorphology,One of the following landform features is NOT a depositional feature of the river system:,D,Erratic,A,Seif,100%,"A Seif is a linear sand dune formed by wind action, not a river depositional feature.",
semantic,questions,GEO-2021-022,Geography,Climatology,"In terms of proportion of the total area affected, the most arid continent is",B,Africa,A,Australia,100%,"Australia is the driest inhabited continent, with a very high proportion of its landmass classified as arid or semi-arid.",yes
semantic,questions,GEO-2021-032,Geography,Transportation Geography,The major railway station town after Ibadan while coming from Lagos is?,A,Abeokuta,D,Ilorin,100%,Ilorin is the major railway station town located after Ibadan on the Lagos-Kano railway line.,yes
semantic,questions,GEO-2021-043,Geography,Climatology,Which of the following types of climate would a person NOT encounter while travelling from Algiers t,B,Temperate,D,Tropical Savannah,100%,"The route from Algiers (North) to Cape Town (South) passes through the Sahara Desert, the Sahel, and Savannah regions, but does not necessarily traverse the Tro",
semantic,questions,GEO-2022-014,Geography,Geography of Settlements,Describing the location of a place in relation to places around it is known as,D,situation,B,relative location,100%,Relative location describes the position of a place in relation to other places or landmarks.,
semantic,questions,GEO-2025-005,Geography,Geomorphological Processes,Which of the following is NOT associated with Hydraulic action?,A,Glaciers,C,Winds,100%,"Hydraulic action is the mechanical force of moving water. Wind erosion involves processes like deflation and abrasion, not hydraulic action.",
semantic,questions,GOV-2019-038,Government,Political Analysis,Quantitative data in political analysis refers to the use of ____,D,Numeric values,C,Words,100%,"Quantitative data specifically deals with measurable quantities and numbers, as opposed to qualitative data which deals with words and descriptions.",
semantic,questions,GOV-2019-039,Government,Political Power,Which of the following is NOT a source of political power in a state?,D,Religion,A,Wealth,100%,"While wealth can influence politics, it is generally not classified as a primary legitimate source of political power in political science theory compared to su",
semantic,questions,GOV-2019-044,Government,Sovereignty,The exercise of sovereign power of a state CANNOT be hindered by ____,D,Political party manifesto,A,International law,100%,"Sovereignty implies supreme authority; while states may choose to comply with international law, it cannot legally override the sovereign will of a state in the",yes
semantic,questions,GOV-2019-078,Government,Pre-colonial Political Systems,The Bashorun is the ____ in the Yoruba pre-colonial system.,A,Prime Minister,D,Commander-in-Chief,100%,The Bashorun was the head of the Oyomesi and the commander-in-chief of the Oyo army.,
semantic,questions,GOV-2021-003,Government,International Organizations,A member of the Commonwealth that currently recognizes the British Monarch as its Head of State is,B,Geneva,C,Australia,100%,Australia is a Commonwealth realm that recognizes the British Monarch as its Head of State.,yes
semantic,questions,GOV-2021-007,Government,Nigeria's Foreign Policy,Nigeria’s first involvement in United Nations peacekeeping operation was in,C,Angola,B,Congo,100%,Nigeria's first UN peacekeeping mission was in the Congo (ONUC) in 1960.,yes
semantic,questions,GOV-2021-012,Government,Principles of Government,Withholding of executive assent to a bill passed by the legislature underscores the principle of,A,probity and accountability.,D,checks and balances.,100%,The power of the executive to veto or withhold assent to a bill is a classic mechanism of checks and balances.,yes
semantic,questions,GOV-2021-015,Government,Political Thinkers,The philosophical statement ‘Man is born free but everywhere in chains’ is credited to,B,Martin Luther King.,D,Jean-Jacques Rousseau.,100%,This famous opening line of 'The Social Contract' was written by Jean-Jacques Rousseau.,yes
semantic,questions,GOV-2021-019,Government,Political Ideologies,"According to the Marxist theory, those who own the means of production and distribution in a capital",B,feudal lords,A,bourgeoisie,100%,"In Marxist theory, the bourgeoisie are the capitalist class who own the means of production.",yes
semantic,questions,GOV-2021-021,Government,Political Ideologies,A political ideology which emphasizes state ownership and control of the means of production and dis,D,feudalism,B,socialism,100%,Socialism is the ideology that advocates for state or public ownership of the means of production.,yes
semantic,questions,GOV-2021-023,Government,Political Ideologies,The following are examples of political ideology EXCEPT,B,capitalism,D,atheism,100%,"Atheism is a philosophical stance regarding the existence of deities, not a political ideology.",yes
semantic,questions,GOV-2021-024,Government,Political Ideologies,Fascism was an ideology propagated in,C,Israel,B,Italy,100%,"Fascism originated in Italy under Benito Mussolini, while Nazism was the specific form in Germany.",yes
semantic,questions,GOV-2021-025,Government,Nigeria's Foreign Policy,The following factors enhanced Nigeria’s foreign relations EXCEPT,B,non-interference,A,economic dependence,100%,"Economic dependence is generally considered a weakness or a challenge to foreign policy, not a factor that enhances it.",yes
semantic,questions,GOV-2021-027,Government,Pre-colonial Political Systems,The Emirate system in the administration of the Hausa/Fulani society was,D,secular,C,hierarchical,100%,"The Emirate system was highly centralized and hierarchical, with the Emir at the top.",yes
semantic,questions,GOV-2021-028,Government,International Organizations,The International Court of Justice is located in,A,Amsterdam,B,The Hague,100%,The International Court of Justice is headquartered in the Peace Palace in The Hague.,yes
semantic,questions,GOV-2021-031,Government,Constitutional Law,"Where the constitution is supreme, unconstitutional acts of the executive and the legislature can be",C,vote of no confidence.,B,judicial review.,100%,Judicial review is the power of the courts to examine the actions of the legislative and executive branches and declare them unconstitutional.,yes
semantic,questions,GOV-2021-032,Government,Nigerian Political History,The first military coup d’état in Nigeria claimed the life of a Head of State named,C,General Aguiyi Ironsi.,D,Sir Abubakar Tafawa Balewa.,100%,"The first military coup in Nigeria (January 15, 1966) led to the death of the Prime Minister, Sir Abubakar Tafawa Balewa.",yes
semantic,questions,GOV-2022-002,Government,Legislative Processes,The meeting of the legislature is usually brought to an end through a motion for,B,prorogation,A,adjournment,100%,Adjournment refers to the suspension of a sitting of the legislature until a future time.,yes
semantic,questions,GOV-2022-015,Government,Military Rule in West Africa,The first country in West Africa to experience a military coup was,C,Ghana.,B,Togo.,100%,Togo experienced the first military coup in West Africa in January 1963.,yes
semantic,questions,GOV-2022-044,Government,Government,The revolutionary military coup took place in which of these African countries?,D,Libya,A,Mali,100%,"Mali has experienced multiple military coups in recent years (2020, 2021) often described as revolutionary in nature.",yes
semantic,questions,GOV-2024-037,Government,Constitutional Development,The constitution that provided for the Central Legislative Council in Nigeria was,C,Richards,A,Clifford,100%,The 1922 Clifford Constitution introduced the elective principle and established the Legislative Council for the whole of Nigeria.,yes
semantic,questions,GOV-2024-040,Government,Constitutional Development,The constitution that introduced regionalism in Nigeria was,D,Richards,C,Lyttelton,100%,The 1954 Lyttelton Constitution established the federal system and regionalism in Nigeria.,
semantic,questions,GOV-2025-047,Government,Nigerian Government,"The major reason advanced by General Babangida for the annulment of the June 12, 1993, presidential ",A,prevent a coup.,C,protect the military.,100%,The military regime claimed the annulment was necessary to protect the integrity of the judiciary and the military institution.,
semantic,questions,LIT-2020-009,Literature in English,Literary Devices,Ridicule in a comedy is achieved through,C,soliloquy,A,satire,100%,"Satire is the literary technique used to ridicule or mock human vices, follies, or shortcomings.",yes
semantic,questions,LIT-2020-017,Literature in English,Literary History,In which of the following genres did the 18th-century literature achieve its greatest success?,D,The essay,C,Novel,100%,The 18th century is widely regarded as the period when the novel emerged and achieved significant success as a literary form.,yes
semantic,questions,LIT-2020-034,Literature in English,Tone and Mood,"The mood of the extract is that of: 'The snow is a white blanket. Oh it is, is it, all right then, y",C,excitement.,D,indifference.,100%,"The speaker's tone is dismissive and mocking of the poetic description of snow, indicating indifference or cynicism.",yes
semantic,questions,LIT-2020-036,Literature in English,Literary Genres,What type of poem is it?,D,Lyric,A,Panegyric,100%,A panegyric is a public speech or published text in praise of someone or something.,yes
semantic,questions,LIT-2020-044,Literature in English,Literary Devices,"‘J stood on the road, looking at the fluffy, dark-red young cattle that seemed to moo at me.’ The de",B,Simile,D,Onomatopoeia,100%,"The word 'moo' is an onomatopoeia, as it imitates the natural sound made by cattle.",yes
semantic,questions,LIT-2022-003,Literature in English,Drama,A scene that abates the seriousness of a play is,C,farcical plot,A,comic relief,100%,Comic relief is a literary device used to provide a break from the tension of a serious or tragic scene.,yes
semantic,questions,LIT-2022-006,Literature in English,Drama,A character that possesses only attitudes of its class is called,B,static,A,stereotype,100%,"A stereotype is a character who represents a fixed, conventional, or oversimplified idea of a particular group or class.",yes
semantic,questions,LIT-2022-007,Literature in English,Literary Devices,Discrepancies between the ideal and the actual develop into,C,allegorical interpretation,A,situational irony,100%,Situational irony occurs when there is a discrepancy between expectations and reality.,yes
semantic,questions,LIT-2022-008,Literature in English,Drama,The most distinguishing feature of drama is its,A,fallacy,B,action,100%,Drama is fundamentally defined by action (enactment) performed by actors.,yes
semantic,questions,LIT-2022-009,Literature in English,History of Drama,The open space where pioneer actors of Greek drama acted their plays is called the,B,auditorium,C,theatron,100%,"The theatron was the viewing area, but the performance space itself is often referred to as the orchestra or the theatron in general Greek architectural context",
semantic,questions,LIT-2022-010,Literature in English,History of Drama,Which of these is NOT related to classical drama?,A,Dionysus,B,Sheep song,100%,"Tragedy is derived from the Greek 'tragos' (goat) and 'oide' (song), meaning goat song. Sheep song is not a term associated with classical drama.",yes
semantic,questions,LIT-2022-012,Literature in English,Literary Terms,The point where all knots are untied is also known as,C,catharsis,B,denouement,100%,"The denouement is the final part of a play, movie, or narrative in which the strands of the plot are drawn together and matters are explained or resolved.",yes
semantic,questions,LIT-2022-018,Literature in English,Literary Genres,The type of novel characterized by elements of horror and terror is,B,ghostly.,D,gothic.,100%,"Gothic fiction is a genre that combines fiction and horror, death, and at times romance.",yes
semantic,questions,LIT-2022-020,Literature in English,Literary Terms,The type of character that has the opposite traits of another character in a story is a,C,flat.,A,foil.,100%,A foil is a character who contrasts with another character to highlight particular qualities of the other character.,yes
semantic,questions,LIT-2022-023,Literature in English,Literary Terms,"When a character gets what he deserves, it is called Poetic",A,license.,C,justice.,100%,Poetic justice is a literary device in which virtue is ultimately rewarded or vice punished.,yes
semantic,questions,LIT-2022-024,Literature in English,Poetry,A limerick consists of a five-line stanza with a strict rhyming scheme of,C,abbab.,A,aabba.,100%,A limerick is a five-line poem with a strict AABBA rhyme scheme.,yes
semantic,questions,LIT-2022-028,Literature in English,Poetry,"A poem that praises an individual, ideas, or events is",C,epic,B,lyric,100%,"An ode is a formal, often ceremonious lyric poem that addresses and celebrates a person, place, thing, or idea.",yes
semantic,questions,LIT-2022-029,Literature in English,Poetry,The end rhyme scheme of Shakespearean sonnets is,A,abba abba cde dce,B,abab cdcd efef gg,100%,"A Shakespearean sonnet consists of three quatrains and a final couplet, following the rhyme scheme abab cdcd efef gg.",yes
semantic,questions,LIT-2022-031,Literature in English,Poetry,The mood of the poem (My heart leaps up when I behold a rainbow in the sky) is that of,A,sorrow,B,elation,100%,"The phrase 'My heart leaps up' indicates a feeling of joy, excitement, or elation upon seeing a rainbow.",yes
semantic,questions,LIT-2022-032,Literature in English,Poetry,The subject matter of the extract is the,B,effect of the rainbow,C,cycle of nature,100%,The poem 'My Heart Leaps Up' by William Wordsworth focuses on the continuity and cycle of nature.,
semantic,questions,LIT-2022-033,Literature in English,Literary Devices,The literary device used in line 1 is,C,litotes,B,alliteration,100%,"The repetition of the 'f' sound in 'foot-worker', 'foot', and 'loose' is alliteration.",yes
semantic,questions,LIT-2022-047,Literature in English,Literature in English - Othello,"The first two lines of the Othello excerpt (Act 3, Scene 3) — 'This fellow's of exceeding honesty, A",B,Cassio,A,Iago,100%,"Othello is speaking about Iago, whom he mistakenly believes to be honest.",yes
semantic,questions,LIT-2024-018,Literature in English,Literary Devices,The predominant imagery in the excerpt is,C,kinesthetic.,A,olfactory.,100%,Imagery refers to descriptive language that appeals to the senses; olfactory relates to the sense of smell.,
semantic,questions,LIT-2024-019,Literature in English,Literary Devices,The last line of the excerpt exemplifies the use of,C,personification.,A,pathetic fallacy.,100%,Pathetic fallacy is the attribution of human emotions to inanimate nature.,
semantic,questions,LIT-2024-040,Literature in English,Othello,Who is the speaker in this excerpt?,C,Brabantio,D,Emilia,100%,"Emilia is the speaker in the famous 'I will be hanged, if some eternal villain...' passage.",yes
semantic,questions,LIT-2024-041,Literature in English,Othello,The speaker in the above extract is addressing,B,Duke,C,Herself,100%,"In the specific soliloquy/monologue context, the speaker is often reflecting or addressing the situation to herself.",
semantic,questions,LIT-2025-011,Literature in English,Literary Terms,The reversal of fortune or peripetia in Greek tragedy often depends on,A,hubris.,C,hamartia.,100%,Hamartia (the tragic flaw) is the error in judgment that leads to the hero's peripetia.,yes
semantic,questions,LIT-2025-046,Literature in English,Literature in English - Drama,Speaker B in the extract is,D,Emilia,A,Cassio,100%,"Based on the standard Othello extract context, Cassio is the identified speaker.",
semantic,questions,MAT-2020-007,Mathematics,Coordinate Geometry,"The end coordinates of the diameter of a circle are (3,2) and (9,6). Formulate the equation of the c",C,x² + y² − 6x − 4y + 39 = 0,D,x² + y² + 12x + 8y − 39 = 0,100%,"Center = ((3+9)/2, (2+6)/2) = (6,4). Radius squared r² = (6-3)² + (4-2)² = 9+4 = 13. Equation: (x-6)² + (y-4)² = 13 => x²-12x+36 + y²-8y+16 = 13 => x²+y²-12x-8y",
semantic,questions,MAT-2021-011,Mathematics,Islamic Studies,Which of the following is not part of the materials used in preserving the Qur’an?,A,Dried animal skin,C,Tablet,100%,"Historically, the Qur'an was recorded on parchment, scapulae, and leaves; 'Tablet' is a general term not specific to the early preservation materials.",yes
semantic,questions,MAT-2021-012,Mathematics,Islamic Studies,Which of the names of the Qur’an describes it as the Reminder?,C,Al-Furqan,B,Al-Dhikr,100%,Al-Dhikr literally translates to 'The Reminder'.,yes
semantic,questions,MAT-2021-045,Mathematics,Islamic Studies,Under whose chairmanship was the standardisation of the Holy Qur’an done?,C,Abdul Rahman bn Harith,D,Zayd bn Thabit,100%,The committee for the standardisation of the Qur'an during the Caliphate of Uthman was headed by Zayd bn Thabit.,yes
semantic,questions,MAT-2022-014,Mathematics,Statistics,An estimate of a population parameter given by a single number is called:,D,Standard error,A,Point estimate,100%,A point estimate is a single value used to approximate a population parameter.,yes
semantic,questions,MAT-2024-022,Mathematics,Motion in a Plane,A particle moves so that its position vector is given by r = a cos(ωt)i + b sin(ωt)j where ω is a co,D,a straight line,B,an ellipse,100%,"x = a cos(ωt) and y = b sin(ωt). Thus (x/a)² + (y/b)² = 1, which is the equation of an ellipse.",yes
semantic,questions,PHY-2019-020,Physics,Optics,All are properties of plane mirror images EXCEPT ____,C,Magnified,B,Erect,100%,"Plane mirrors produce images that are virtual, erect, and the same size as the object (magnification = 1).",
semantic,questions,PHY-2021-017,Physics,Thermometry,The thermometer that depends on the electromotive force change with temperature of two metals joined,D,a liquid-in-glass thermometer.,A,a thermocouple.,100%,"A thermocouple operates on the Seebeck effect, where an electromotive force is generated by the temperature difference between two dissimilar metal junctions.",yes
semantic,questions,PHY-2021-029,Physics,Atomic and Nuclear Physics,The estimated biological effect of absorbed ionizing radiation energy is measured in which of the fo,D,Joule,C,Sieverts,100%,The Sievert (Sv) is the SI unit for the biological effect of ionizing radiation (dose equivalent).,yes
semantic,questions,PHY-2021-034,Physics,Atomic Physics,The ionization energy for a hydrogen atom in ground state is 13.6 eV. A photon of energy 4.53 eV str,D,be ionized.,B,be excited to the first excited state.,100%,"Excitation requires specific energy levels (E_n = -13.6/n^2). The energy required to reach the first excited state (n=2) is 10.2 eV. Since 4.53 eV < 10.2 eV, no",
semantic,questions,PHY-2022-001,Physics,"Work, Energy and Power","If P is the momentum of an object of mass m, then the expression P²/2m has the same unit as:",B,speed.,C,kinetic energy.,100%,The expression P²/2m is the formula for kinetic energy (K = 1/2 mv² = (mv)²/2m = P²/2m).,yes
semantic,questions,PHY-2022-025,Physics,Fluid Mechanics,Which of these is most suitable for measuring fluid flow velocity?,B,Mercury barometer.,D,Pitot-static tube.,100%,A Pitot-static tube is a pressure measurement instrument used to measure fluid flow velocity.,yes
semantic,questions,PHY-2022-028,Physics,Thermal Physics,The instrument used in marking the upper fixed point of a thermometer is known as:,C,spectrometer.,D,hypsometer.,100%,"A hypsometer is an instrument used to determine the boiling point of water at a specific pressure, used to calibrate the upper fixed point of a thermometer.",yes
semantic,questions,PHY-2025-018,Physics,Optics,"In an experiment to find the focal length of a concave mirror, a graph is drawn between the magnitud",C,A parabola,A,A hyperbola,100%,"The mirror formula 1/f = 1/u + 1/v implies v = uf/(u-f), which represents a hyperbola.",yes
semantic,questions,AGR-2024-029,Agricultural Science,Forestry,Reforestation involves all the following EXCEPT,D,Cultivation of forest trees for boundary demarcation,B,Establishing of forests in areas where there were previously none,80%,Reforestation is the restocking of existing forests and woodlands that have been depleted. Establishing forests in areas where there were previously none is def,yes
semantic,questions,ECO-2022-035,Economics,National Income,Which of the following is the primary function of national income accounting?,C,It estimates non-productive transactions.,D,It provides a basis for assessing the performance of the economy.,80%,"National income accounting provides a systematic record of economic activity, which is essential for assessing the overall performance of an economy.",yes
semantic,questions,CHM-2019-052,Chemistry,Periodic Table and Periodicity,Strontium is an element in Group 2 of the Periodic Table. Which of the following statements about st,A,Its first ionization energy is lower than that of calcium.,B,Its atomic radius is smaller than that of magnesium.,75%,"As you move down Group 2, the atomic radius increases due to the addition of extra electron shells. Therefore, strontium has a larger atomic radius than magnesi",
semantic,questions,CHM-2022-017,Chemistry,Kinetic Theory of Gases,Which of the following statements is NOT true about the effect of an increase in temperature on the ,B,The collision frequency of the molecules increases.,A,The most probable speed increases.,75%,"The statement 'The most probable speed increases' is actually true. The question asks for the statement that is NOT true. Based on standard kinetic theory, all ",
semantic,questions,CHM-2022-023,Chemistry,Group 14 Elements,Which of the following is NOT a property of graphite?,A,High melting point.,D,Presence of sp³ hybridized carbon atoms.,75%,Graphite consists of carbon atoms that are sp² hybridized. Diamond contains sp³ hybridized carbon atoms.,yes
semantic,questions,GOV-2021-035,Government,Elections and Electoral Processes,Election performs the function of,D,elimination of opponents who are in office.,A,recruitment of the leaders in a modern state.,75%,Elections serve as the primary mechanism for the recruitment and selection of political leaders in a democratic state.,yes
semantic,questions,LIT-2022-014,Literature in English,Prose,A non-fictional novel,C,does not portray the reality of life,D,promotes factual and actual details,75%,A non-fictional novel (or creative nonfiction) uses literary techniques to present factual and actual details.,yes
semantic,questions,BIO-2020-011,Biology,Mycology,Which of the following statements is NOT correct about fungal groups?,C,Basidiomycetes primarily reproduce by sexual spores called basidiospores.,D,Zygomycetes do not form asexual spores.,71%,"Zygomycetes (such as Rhizopus) commonly reproduce asexually by forming sporangiospores within a sporangium. Therefore, the statement that they do not form asexu",yes
semantic,questions,ACC-2022-001,Accounting,Cost Accounting,Overtime is time spent,A,to produce more quantity than required.,C,by the employees working beyond the normal working hours.,67%,Overtime refers to the hours worked by an employee in excess of their standard or normal working hours.,yes
semantic,questions,AGR-2019-034,Agricultural Science,Price Theory,The price that is determined when demand and supply curves meet at a point is called,C,diminishing returns price,B,equilibrium price,67%,The equilibrium price is the market price where the quantity of goods supplied is equal to the quantity of goods demanded.,yes
semantic,questions,AGR-2021-036,Agricultural Science,Fisheries,Which of these MAY NOT lead to poisoning or toxicity of fish?,C,fishing by use of explosives,D,fishing with cast nets,67%,"Fishing with cast nets is a mechanical method of harvesting fish that does not introduce chemical toxins or pollutants into the aquatic environment, unlike the ",yes
semantic,questions,BUS-2020-013,Business Studies,Business Growth and Integration,One similarity between vertical integration and horizontal integration is that they are,B,internal growth methods.,D,business mergers.,67%,Both vertical and horizontal integration are forms of inorganic growth achieved through business mergers or acquisitions.,yes
semantic,questions,BUS-2022-006,Business Studies,Strategic Management,"The following are the features of a strategic plan, EXCEPT",C,future-oriented,D,involvement of all employees,67%,"Strategic planning is primarily a top-down process driven by senior management. While communication is important, the actual formulation and strategic decision-",yes
semantic,questions,BUS-2022-021,Business Studies,Financial Management,The decision of a manager on how and where to source for funds to run a business is called,D,Working capital decision,A,Financing decision,67%,"Financing decision relates to the sourcing of funds from various sources such as equity, debt, or retained earnings to finance business operations.",yes
semantic,questions,CHM-2019-040,Chemistry,Acid-Base Equilibria,"A base is a proton acceptor, according to",C,Lewis concept,B,Brønsted-Lowry concept,67%,"According to the Brønsted-Lowry theory, an acid is a proton donor and a base is a proton acceptor.",yes
semantic,questions,CRS-2025-047,CRS,Sociology of Religion,Which of these options most effectively relates to measures of religiosity?,B,"Facts, projections, and forecasts",C,"Attitudes, behaviours, and values",67%,"In the sociology of religion, religiosity is typically measured through the internal and external manifestations of faith, specifically attitudes, behaviors, an",yes
semantic,questions,ECO-2019-020,Economics,Population Economics,Overpopulation is caused by ____,C,Low literacy rates,A,High birth rates,67%,"Overpopulation is primarily driven by high birth rates exceeding death rates, leading to rapid population growth.",yes
semantic,questions,ECO-2020-057,Economics,Development Economics,Objectives of development plans include all of the following EXCEPT:,B,To attract foreign investment,A,To increase the employment rate,67%,"Development plans generally aim to increase employment; therefore, it is not an exception.",
semantic,questions,ECO-2022-007,Economics,Economic Growth and Development,Government can directly contribute to economic growth by providing,C,armed forces to fight insurgencies.,B,money for business development.,67%,"Government spending on business development (infrastructure, subsidies, or grants) directly stimulates production and economic growth.",yes
semantic,questions,GEO-2019-020,Geography,Population Geography,Types of migration can be broadly classified into,C,rural and urban migration,B,internal and international migration,67%,Migration is broadly classified into internal (within a country) and international (between countries).,yes
semantic,questions,GEO-2019-029,Geography,Map Reading,Which corner of a complete grid system is referred to as the origin?,B,The extreme north-east,A,The extreme south-west,67%,"In a standard grid system, the origin is located at the extreme south-west corner, from which coordinates increase northwards and eastwards.",yes
semantic,questions,GEO-2019-040,Geography,Agricultural Geography,Which of the following is a type of agriculture?,C,Shifting storing farming.,A,Shifting cultivation.,67%,Shifting cultivation is a traditional agricultural system where plots of land are cultivated temporarily and then abandoned.,yes
semantic,questions,GOV-2021-017,Government,Political Ideologies,Totalitarianism is characterized by,A,dominance of colonial power,D,a single recognized party,67%,"Totalitarianism is a system of government that is centralized and dictatorial and requires complete subservience to the state, often characterized by a single-p",yes
semantic,questions,GOV-2021-034,Government,Local Government Administration,The following are the major sources of local government revenue in Nigeria EXCEPT,B,intergovernmental grants.,C,allowance from Petroleum funds.,67%,Petroleum funds are typically managed at the federal level and are not a direct source of local government revenue.,yes
semantic,questions,MAT-2020-022,Mathematics,Mechanics,The basic types of friction that exist between two surfaces in contact are,B,limiting and sliding friction,A,static and kinetic friction,67%,Friction is broadly categorized into static friction (when surfaces are at rest relative to each other) and kinetic/dynamic friction (when surfaces are in motio,yes
semantic,questions,PHY-2021-024,Physics,Electricity,A circuit has a resistance of 200 Ω. The resistance of the circuit can be reduced to 120 Ω by adding,C,240 Ω resistor in series.,D,300 Ω resistor in parallel.,67%,"To reduce resistance, a resistor must be added in parallel. Using 1/R_total = 1/R1 + 1/R2, 1/120 = 1/200 + 1/R2 leads to R2 = 300 Ω.",yes
semantic,questions,PHY-2024-029,Physics,Nuclear Physics,One of the following types of radiation is not employed in food preservation.,C,High energy X-rays,B,Gamma rays,67%,Alpha particles have very low penetration power and are not suitable for food irradiation compared to gamma or X-rays.,
semantic,questions,ECO-2022-005,Economics,Consumption Theory,Keynes's absolute income hypothesis can be rejected because studies have shown that,C,rich households save a larger fraction of additional income than poor households.,B,the marginal propensity to consume may be constant.,64%,"Empirical evidence (Kuznets puzzle) showed that the average propensity to consume is constant in the long run, contradicting Keynes's hypothesis that it falls a",yes
semantic,questions,ECO-2024-009,Economics,Market Efficiency,Allocative efficiency is said to occur if the,A,society produces the largest output.,D,marginal benefit of the last unit produced equals its marginal cost.,63%,"Allocative efficiency occurs when resources are distributed according to consumer preferences, where the price (marginal benefit) equals the marginal cost.",yes
semantic,questions,GOV-2019-124,Government,Government,Why is the Igbo political system described as fragmented?,D,Political authority was exercised by many institutions,A,The political system depends on the village as a political unit,63%,"The traditional Igbo political system was acephalous and decentralized, relying on the village as the primary autonomous political unit.",yes
semantic,questions,GOV-2020-042,Government,Government,Why is the Igbo political system described as fragmented?,D,Political authority was exercised by many institutions.,A,The political system depends on the village as a political unit.,63%,"The traditional Igbo political system was acephalous and decentralized, relying on the village as the primary autonomous political unit.",yes
semantic,questions,CHM-2019-003,Chemistry,Atomic Structure and Properties,The following factors influence ionization energies EXCEPT,C,Shape of the orbital containing the valence electron,D,Number of neutrons in the nucleus,60%,"Ionization energy is primarily determined by the effective nuclear charge, the distance of the valence electrons from the nucleus, and the shielding effect. The",yes
semantic,questions,GEO-2019-013,Geography,Human Geography,Culture is defined as a/an,C,"set of norms, taboos and customs",B,established societal behaviour shared and transmitted from one generation to another,57%,"Culture is broadly defined as the total way of life of a people, which is shared and transmitted from one generation to another.",yes
semantic,questions,ACC-2019-032,Accounting,Professional Ethics,Ethical dilemmas in accounting most commonly arise from conflicts between:,C,Client demands and auditor independence.,B,Conflicting professional duties or values.,50%,"Ethical dilemmas in accounting often stem from situations where an accountant faces a choice between two or more conflicting professional duties, values, or obl",yes
semantic,questions,ACC-2020-016,Accounting,Accounting,"Which of the following items would typically NOT be found in a bank reconciliation statement, as it ",A,Uncredited cheque,B,Standing order,50%,A standing order is a payment instruction set up with the bank to automatically transfer a fixed amount on a regular basis. This transaction is processed by the,
semantic,questions,ACC-2024-014,Accounting,Books of Original Entry,Items bought or sold on credit are recorded in the,A,Day book,C,Journal proper,50%,"The journal proper is used to record transactions that do not fit into any of the specialized subsidiary books, such as credit transactions involving non-curren",
semantic,questions,ACC-2024-036,Accounting,Audit Reporting,Chika Adams & Co. (Chartered Accountants) was engaged to audit the financial statements of Newcomers,C,Unqualified opinion,B,Disclaimer of opinion,50%,"When an auditor is unable to obtain sufficient appropriate audit evidence regarding material and pervasive elements of the financial statements, such as invento",yes
semantic,questions,ACC-2024-039,Accounting,Company Audit,The removal of an auditor before the expiration of his term of office requires the passing of a/an,A,extraordinary resolution,B,ordinary resolution,50%,"Under the Companies and Allied Matters Act (CAMA), an auditor may be removed from office before the expiration of his term by an ordinary resolution of the comp",yes
semantic,questions,ACC-2025-036,Accounting,Cost Accounting,"Udechukwu Limited provided you with the following details: Annual demand = 10,000 units; Ordering co",C,224 Units,A,500 Units,50%,"EOQ = sqrt((2 * Annual Demand * Ordering Cost) / Holding Cost). Given: D=10,000, O=500, H=8 (40% of 20). EOQ = sqrt((2 * 10,000 * 500) / 8) = sqrt(1,250,000) = ",
semantic,questions,AGR-2019-002,Agricultural Science,Soil Water,"The type of water held in the soil after excess water has drained away due to gravity, which is avai",C,capillary water,B,field capacity,50%,Field capacity is the amount of soil moisture or water content held in the soil after excess water has drained away and the rate of downward movement has decrea,yes
semantic,questions,AGR-2019-006,Agricultural Science,Soil Management,Mulch is a protective covering of the soil surface intended to minimize evaporation losses.,C,Contour,D,Soil profile,50%,"Mulching involves covering the soil surface with organic or inorganic materials to conserve moisture, suppress weeds, and regulate soil temperature.",
semantic,questions,AGR-2019-007,Agricultural Science,Soil Science,"The sand, silt, and clayey particles of the soil are cemented together in the soil to form natural u",B,soil texture,C,soil structure,50%,"Soil structure refers to the arrangement of soil particles (sand, silt, and clay) into aggregates or peds, which are separated by pores.",yes
semantic,questions,AGR-2019-011,Agricultural Science,Soil Management,The process of spot tillage in agriculture is called,C,operational tillage,B,minimum tillage,50%,Minimum tillage (also known as conservation tillage or spot tillage) is a soil conservation system that reduces the frequency or intensity of tillage operations,yes
semantic,questions,AGR-2019-020,Agricultural Science,Animal Nutrition,"The ration usually fed to non-productive animals like old layers, dry or non-lactating animals is ca",A,production ration,D,maintenance ration,50%,A maintenance ration is the amount of feed required to keep an animal in good health and maintain its body weight without gain or loss when it is not performing,yes
semantic,questions,AGR-2019-022,Agricultural Science,Animal Husbandry,The average gestation period in sows is,C,148 days/151 days,B,114 days,50%,"The gestation period of a sow (pig) is approximately 114 days, often remembered as 3 months, 3 weeks, and 3 days.",yes
